Datum;Zeit;Filiale;Kassennummer;Transaktionsnummer;Artikel;Menge;Rabatt;Umsatz
19.03.11;11:02;Köniz - Bläuacker;34240;5574;ADR LENKER BERGTUMMELI;0.229;1.25;4.80
19.03.11;11:02;Köniz - Bläuacker;34240;5574;EISBERGSALAT TP    BT S.;1.000;0.00;1.30
19.03.11;11:02;Köniz - Bläuacker;34240;5574;M-CLAS JOGH HASELN. 180G;2.000;0.00;1.20
19.03.11;11:02;Köniz - Bläuacker;34240;5574;BIO KART.FESTK.   AB 1KG;1.000;0.00;2.70
19.03.11;11:02;Köniz - Bläuacker;34240;5574;GRAPEFR.ROSAFL.   LOSE;0.828;0.00;2.65
19.03.11;11:02;Köniz - Bläuacker;34240;5574;M-CLAS COTTAGE CHEESE NAT;1.000;0.00;1.60
19.03.11;11:02;Köniz - Bläuacker;34240;5574;AGNESI NAPOLETANA SAUCE;1.000;0.00;2.70
19.03.11;11:02;Köniz - Bläuacker;34240;5574;VALFLORA M-DRINK UHT 1/2L;1.000;0.00;0.90
19.03.11;11:02;Köniz - Bläuacker;34240;5574;VALFLORA HR UHT 1/4L;1.000;0.00;1.25
19.03.11;11:02;Köniz - Bläuacker;34240;5574;CHAMPIGNONS BRAUN LOSE;0.183;0.00;2.20
19.03.11;11:02;Köniz - Bläuacker;34240;5574;BLUTORANGEN EXTRA LOSE;1.097;0.00;3.40
19.03.11;11:02;Köniz - Bläuacker;34240;5574;AGNESI CRAVATTINE;1.000;0.00;2.05
19.03.11;11:02;Köniz - Bläuacker;34240;5574;PEPERONI ROT      LOSE;0.500;0.00;2.80
19.03.11;11:02;Köniz - Bläuacker;34240;5574;BIO KLOSTER BRENNES.20BTL;1.000;0.00;1.70
19.03.11;11:02;Köniz - Bläuacker;34240;5574;CARAMELKOEPFLI 2X102G SCH;1.000;0.00;3.30
19.03.11;11:02;Köniz - Bläuacker;34240;5574;CARLINO SPECKWUERFEL 2X60;1.000;0.00;2.30
19.03.11;11:02;Köniz - Bläuacker;34240;5574;ADR M-DRINK PAST 1L;4.000;0.00;5.40
19.03.11;11:02;Köniz - Bläuacker;34240;5574;SG KLOSTERKAESE 250G;0.269;0.00;5.65
19.03.11;11:02;Köniz - Bläuacker;34240;5574;M-CLAS JOGHURT MARRONI;2.000;0.00;1.20
19.03.11;11:02;Köniz - Bläuacker;34240;5574;TS HINTERSCHINKEN    MAXI;0.160;0.00;4.15
19.03.11;11:02;Köniz - Bläuacker;34240;5574;APF.BRAEBURN I    LOSE;0.727;0.00;2.40
19.03.11;11:02;Köniz - Bläuacker;34240;5574;MIOB WC-BÜRSTE KERAMIK;1.000;0.00;3.50
19.03.11;11:02;Köniz - Bläuacker;34240;5574;GRUEN. GRIE. OLIVEN 200G;1.000;0.00;2.10
19.03.11;11:02;Köniz - Bläuacker;34240;5574;NESCAFE CAPPUCCINO;1.000;0.00;4.95
19.03.11;11:02;Köniz - Bläuacker;34240;5574;GOLD GRAPEFRUITSAFT 1L;2.000;0.00;3.00
19.03.11;11:02;Köniz - Bläuacker;34240;5574;GRUYERE MILD         250G;0.291;0.00;4.95
19.03.11;11:02;Köniz - Bläuacker;34240;5574;DIE BUTTER SCHALE 250G;1.000;0.00;3.50
19.03.11;11:02;Köniz - Bläuacker;34240;5574;AGNESI TORTIGLIONI;1.000;0.00;2.05
19.03.11;16:42;Köniz - Bläuacker;34240;253;NESCAFE CAPPUCCINO;-1.000;0.00;-4.95
26.02.11;15:37;Köniz - Bläuacker;34240;3139;OP P-GESCHNETZELTES;0.317;1.75;8.55
26.02.11;15:37;Köniz - Bläuacker;34240;3139;M-CLAS JOGH HASELN. 180G;2.000;0.00;1.20
26.02.11;15:37;Köniz - Bläuacker;34240;3139;M-CLAS COTTAGE CHEESE NAT;1.000;0.00;1.60
26.02.11;15:37;Köniz - Bläuacker;34240;3139;BIO ERBSEN 500G;1.000;0.00;3.50
26.02.11;15:37;Köniz - Bläuacker;34240;3139;BIO GRUYERE MI-SALE  250G;0.350;1.60;5.95
26.02.11;15:37;Köniz - Bläuacker;34240;3139;CHAMP.WEISS GROSS LOSE;0.218;0.00;2.40
26.02.11;15:37;Köniz - Bläuacker;34240;3139;PEPERONI GEMISCHT AB H.;0.742;0.00;4.60
26.02.11;15:37;Köniz - Bläuacker;34240;3139;MAL OFENSCHINKEN     MIDI;0.190;2.45;4.85
26.02.11;15:37;Köniz - Bläuacker;34240;3139;EIER CH FL 53G+ 6ER;1.000;0.00;3.50
26.02.11;15:37;Köniz - Bläuacker;34240;3139;BLONDORANGEN      NZ 2KG;1.000;0.70;2.90
26.02.11;15:37;Köniz - Bläuacker;34240;3139;ADR M-DRINK PAST 1L;4.000;0.00;5.40
26.02.11;15:37;Köniz - Bläuacker;34240;3139;TS BUTTERZOPF        300G;1.000;0.00;2.25
26.02.11;15:37;Köniz - Bläuacker;34240;3139;TOTAL ACTIVE MOUSSE;1.000;0.00;4.90
26.02.11;15:37;Köniz - Bläuacker;34240;3139;M-CLAS JOGHURT MARRONI;2.000;0.00;1.20
26.02.11;15:37;Köniz - Bläuacker;34240;3139;HEI SUESSES TRAEUMLI;0.235;0.00;5.65
26.02.11;15:37;Köniz - Bläuacker;34240;3139;TS HINTERSCHINKEN    MAXI;0.162;0.00;4.20
26.02.11;15:37;Köniz - Bläuacker;34240;3139;KOPFSALAT TP      BT S.;1.000;0.00;2.00
