Datum;Zeit;Filiale;Kassennummer;Transaktionsnummer;Artikel;Menge;Rabatt;Umsatz
26.07.12;9:01;Zürich - Limmatplatz;150018;7999;HB CROISSANT PUR BEURRE;5.000;0.00;6.00
26.07.12;9:01;Zürich - Limmatplatz;150018;7999;M-CLAS CHOCO-DRINK 500ML;1.000;0.00;0.85
09.07.12;11:21;Lenzburg;34243;3795;KAROTTEN          AB 1KG;1.000;0.00;2.40
09.07.12;11:21;Lenzburg;34243;3795;CUMULUS Bon 20.-;-1.000;0.00;-20.00
09.07.12;11:21;Lenzburg;34243;3795;M-BUD STRONG MENTHOL 143G;3.000;0.00;8.55
09.07.12;11:21;Lenzburg;34243;3795;RUCHBROT              1KG;1.000;0.00;1.90
09.07.12;11:21;Lenzburg;34243;3795;CUMULUS Bon 5.-;-1.000;0.00;-5.00
09.07.12;11:21;Lenzburg;34243;3795;BANANEN  I        LOSE;0.589;0.00;1.65
09.07.12;11:21;Lenzburg;34243;3795;APF.JAZZ I        LOSE;0.644;0.00;2.90
09.07.12;11:21;Lenzburg;34243;3795;APRIKOSEN SPEZ.   LOSE;0.623;0.00;6.20
09.07.12;11:21;Lenzburg;34243;3795;RUNDBUERSTE MITTEL;1.000;0.00;7.50
09.07.12;11:21;Lenzburg;34243;3795;NEKTARINEN GELBF. LOSE;0.587;0.95;1.35
09.07.12;11:21;Lenzburg;34243;3795;EICHBLATTSALAT    BT S.;1.000;0.00;1.40
09.07.12;11:21;Lenzburg;34243;3795;CUMULUS Bon 10.-;-1.000;0.00;-10.00
09.07.12;11:21;Lenzburg;34243;3795;NIVEA LONG REPAIR SPUELUN;1.000;0.00;3.55
09.07.12;11:25;Lenzburg;34243;8132;LEPI.KRESSE EINFACHE;1.000;0.00;1.20
09.07.12;11:25;Lenzburg;34243;8132;CUMULUS Bon 5.-;-1.000;0.00;-5.00
09.07.12;11:25;Lenzburg;34243;8132;ZIMMERPFLANZENERDE 10L MV;1.000;0.00;3.95
18.06.12;15:18;Zürich - Wengihof;150010;9888;ISOLIERTASCHEN;1.000;0.00;1.20
18.06.12;15:18;Zürich - Wengihof;150010;9888;STRACCIATELLA 12ST 684ML;1.000;1.45;5.75
18.06.12;15:18;Zürich - Wengihof;150010;9888;SCHOKOLADE 12ST 684ML;1.000;1.45;5.75
18.06.12;15:18;Zürich - Wengihof;150010;9888;VANILLE 12ST 684ML;1.000;1.45;5.75
02.06.12;13:39;Lenzburg;34243;1634;AUSTAUSCH-ZYLIND ZYLINDER;1.000;0.00;17.80
02.06.12;14:11;Lenzburg;34243;350;KALBSBRAET;0.308;0.00;5.25
02.06.12;14:11;Lenzburg;34243;350;STANDARDKARTE FR. 3.90;1.000;0.00;3.90
02.06.12;14:11;Lenzburg;34243;350;PAPRIKARAHMSAUCE 35G BTL;1.000;0.00;1.90
02.06.12;14:11;Lenzburg;34243;350;CHAMPIGNONS WEISS AB 250G;1.000;0.00;3.00
02.06.12;14:11;Lenzburg;34243;350;CHAMPIGNONS-SAUCE 33G BTL;1.000;0.00;1.60
02.06.12;14:11;Lenzburg;34243;350;GURKEN TP         ST S.;1.000;0.00;1.80
02.06.12;14:11;Lenzburg;34243;350;TS BUTTERZOPF        500G;1.000;0.00;3.30
02.06.12;14:11;Lenzburg;34243;350;SUSHI SNACK;1.000;0.00;10.50
02.06.12;14:11;Lenzburg;34243;350;EIER CH FL 53G+ 6ER;1.000;0.00;3.50
02.06.12;14:11;Lenzburg;34243;350;ZWEIF CHIPS NATURE 100G;1.000;0.00;2.20
