Datum;Zeit;Filiale;Kassennummer;Transaktionsnummer;Artikel;Menge;Rabatt;Umsatz
16.08.11;19:16;Basel - Bahnhof SBB;25340;2429;Wurstw. 100g HB;1.000;0.00;2.60
13.08.11;8:21;Zürich - Hauptbahnhof;150184;3913;PFIR.GELBFLEISCH. LOSE;0.350;0.00;0.70
13.08.11;8:21;Zürich - Hauptbahnhof;150184;3913;BUTTERMILCH ERDBEER 500ML;1.000;0.00;1.05
13.08.11;8:21;Zürich - Hauptbahnhof;150184;3913;M-BUD MILCH-NUSS 100G;3.000;0.00;1.80
13.08.11;8:21;Zürich - Hauptbahnhof;150184;3913;RISPENTOMATEN     LOSE;0.333;0.50;0.70
13.08.11;8:21;Zürich - Hauptbahnhof;150184;3913;M-CLAS AUFSCHNITT    MIDI;0.167;0.00;2.75
13.08.11;8:21;Zürich - Hauptbahnhof;150184;3913;M-CLAS KIDS SCHOKOLA 100G;5.000;0.00;5.25
13.08.11;8:21;Zürich - Hauptbahnhof;150184;3913;M-BUD MILCH 100G;1.000;0.00;0.45
13.08.11;8:21;Zürich - Hauptbahnhof;150184;3913;TS KRUSTENKRANZ      300G;1.000;0.00;2.00
13.08.11;8:21;Zürich - Hauptbahnhof;150184;3913;BIO ICE TEA ALPENKR.1L;1.000;0.00;1.25
02.08.11;16:18;Basel - Burgfelder;24560;5251;M-BUD ENERGY DRINK 25CL;3.000;0.00;1.95
02.08.11;16:18;Basel - Burgfelder;24560;5251;EXQUISITO CREMA BOHN.500G;2.000;0.00;15.40
02.08.11;16:18;Basel - Burgfelder;24560;5251;M-CLAS SIRUP BEEREN 1.5L;1.000;0.00;3.30
02.08.11;16:19;Basel - Burgfelder;24560;5254;EXQUISITO BOHNEN 500G;8.000;0.00;61.60
