Datum;Zeit;Filiale;Kassennummer;Transaktionsnummer;Artikel;Menge;Rabatt;Umsatz
08.01.13;18:44;Basel - Dreispitz  MParc;26150;2804;Schlauch 28'' 622 X 28-47;1.000;0.00;5.50
08.01.13;18:44;Basel - Dreispitz  MParc;26150;2804;PNEU 37-622 ANTIPUNCTURE;1.000;0.00;24.90
02.01.13;18:17;Basel - Dreispitz  MParc;26150;7830;CUMULUS Bon 5.-;-2.000;0.00;-10.00
02.01.13;18:17;Basel - Dreispitz  MParc;26150;7830;TRELOCK KABELSCHLOSS K3;1.000;0.00;34.90
02.01.13;13:35;Bern - Bahnhof;34530;8008;Durabase AA/LR6 12er-Pack;1.000;0.00;9.95
02.01.13;13:35;Bern - Bahnhof;34530;8008;COCA-COLA ZERO 50CL;1.000;0.00;1.20
02.01.13;13:35;Bern - Bahnhof;34530;8008;BO SPINAT-STRUDEL    100G;1.000;0.00;2.90
02.01.13;13:36;Bern - Bahnhof;34530;8009;KOCHBUTTER 250G;1.000;0.00;2.85
02.01.13;13:36;Bern - Bahnhof;34530;8009;M-CLAS ORANGENSAFT 1L BRI;2.000;0.50;1.80
02.01.13;13:36;Bern - Bahnhof;34530;8009;BIO CICORIN.ROSSO AB H.;0.392;0.00;3.10
02.01.13;13:36;Bern - Bahnhof;34530;8009;DATTELTOMATEN     AB 250G;1.000;1.10;1.40
02.01.13;13:36;Bern - Bahnhof;34530;8009;MB MISCHSALAT        500G;1.000;0.00;3.90
02.01.13;13:36;Bern - Bahnhof;34530;8009;PONTI BALSA.MODENA 2.5DL;2.000;0.00;12.20
02.01.13;13:36;Bern - Bahnhof;34530;8009;M-BUD KNABBERM.NATURE 1KG;1.000;0.00;3.60
02.01.13;13:36;Bern - Bahnhof;34530;8009;GRANA PADANO 250G;0.461;0.00;9.20
02.01.13;13:36;Bern - Bahnhof;34530;8009;BIO HAV QUINOA WEISS 400G;1.000;0.00;4.50
02.01.13;13:36;Bern - Bahnhof;34530;8009;TS ADR M-DRINK PAST 1L;3.000;0.00;4.20
02.01.13;13:36;Bern - Bahnhof;34530;8009;SBRINZ HARTKAESE;0.200;0.00;4.40
02.01.13;13:36;Bern - Bahnhof;34530;8009;M-CLAS MULTIVITAM. 1L BRI;2.000;0.60;2.10
30.12.12;17:20;Bern - Bahnhof;34530;2474;BIO SAUERHALBRAHM 180ML;2.000;0.00;2.80
30.12.12;17:20;Bern - Bahnhof;34530;2474;BIO MARRONI PUEREE 250G;1.000;0.00;2.40
30.12.12;17:20;Bern - Bahnhof;34530;2474;BIR.KAISER ALEX.     LOSE;0.459;0.00;1.70
30.12.12;17:20;Bern - Bahnhof;34530;2474;MB SPAETZLI          800G;1.000;0.00;2.85
30.12.12;17:20;Bern - Bahnhof;34530;2474;EIER CH FL 63G+ 4ER;1.000;0.00;2.65
30.12.12;17:20;Bern - Bahnhof;34530;2474;BIO RUCOLA        BT 100G;1.000;0.00;2.10
30.12.12;17:20;Bern - Bahnhof;34530;2474;DIE BUTTER 250G;1.000;0.00;3.00
30.12.12;17:20;Bern - Bahnhof;34530;2474;ZWIEBELN          LOSE;0.316;0.00;0.60
30.12.12;17:20;Bern - Bahnhof;34530;2474;EIERSCHWAEMME     LOSE;0.128;0.00;10.10
30.12.12;17:20;Bern - Bahnhof;34530;2474;MARZIPAN NEUTRAL 80G STG;3.000;0.00;3.90
28.12.12;18:49;Bern - Bubenberg;34440;3790;AUBERGINEN        LOSE;0.285;0.00;1.85
28.12.12;18:49;Bern - Bubenberg;34440;3790;RACCARD PAPRIKA BLOCK;0.451;2.00;8.35
28.12.12;18:49;Bern - Bubenberg;34440;3790;SE CAMEMBERT CREMEUX 300G;1.000;0.00;4.30
28.12.12;18:49;Bern - Bubenberg;34440;3790;M-CLAS JOGH MOKKA 180G;1.000;0.00;0.55
28.12.12;18:49;Bern - Bubenberg;34440;3790;M-CLAS JOGH AHORNSIR 180G;1.000;0.00;0.55
28.12.12;18:49;Bern - Bubenberg;34440;3790;BIO TOFU NATURE   200G;1.000;0.00;3.80
28.12.12;18:49;Bern - Bubenberg;34440;3790;SUSHI SNACK;1.000;0.00;10.50
28.12.12;18:49;Bern - Bubenberg;34440;3790;CHAMPIGNONS BRAUN LOSE;0.246;0.00;2.95
28.12.12;18:49;Bern - Bubenberg;34440;3790;MB TORTELL.RIC./SPIN.500G;1.000;0.00;2.40
28.12.12;18:49;Bern - Bubenberg;34440;3790;AVOCADOS          ST S.;1.000;0.00;1.60
28.12.12;18:49;Bern - Bubenberg;34440;3790;ROLLMOPS 400 G;1.000;0.00;3.90
28.12.12;18:49;Bern - Bubenberg;34440;3790;HACKSPINAT UNGEW. 450G;1.000;0.00;2.10
28.12.12;18:49;Bern - Bubenberg;34440;3790;KASSENTRAGTASCHEN;1.000;0.00;0.30
28.12.12;18:49;Bern - Bubenberg;34440;3790;M-CLAS JOGHURT MARRONI;1.000;0.00;0.55
28.12.12;18:49;Bern - Bubenberg;34440;3790;KART.FESTKOCHEND  LOSE;0.471;0.00;0.80
28.12.12;18:49;Bern - Bubenberg;34440;3790;FENCHEL           LOSE;0.397;0.00;1.35
28.12.12;18:49;Bern - Bubenberg;34440;3790;ROQUEFORT SOCIETE    100G;1.000;0.00;3.70
27.12.12;15:09;Bern - Bahnhof;34530;9555;GOLD WINTERZAUBER 1L;1.000;0.00;2.30
27.12.12;15:09;Bern - Bahnhof;34530;9555;M-CLAS ORANGENSAFT 4X1L B;1.000;0.00;4.60
27.12.12;15:09;Bern - Bahnhof;34530;9555;LEG JOGHURT DRINK HIMBEER;2.000;0.00;3.30
27.12.12;15:09;Bern - Bahnhof;34530;9555;TS ADR M-DRINK PAST 1L;4.000;0.00;5.60
27.12.12;15:09;Bern - Bahnhof;34530;9555;LEG JOGHURT DRINK BANANE;2.000;0.00;3.30
27.12.12;15:09;Bern - Bahnhof;34530;9555;BIO LIMONADE ZITRONE 50CL;1.000;0.00;1.20
24.12.12;18:06;Bern - Bahnhof;34530;6569;PFEFFERM.FRISCH   AB S.;1.000;0.00;1.70
24.12.12;18:06;Bern - Bahnhof;34530;6569;GOLD MULTIVITAMIN 1L;1.000;0.00;1.80
24.12.12;18:06;Bern - Bahnhof;34530;6569;MANGO             ST S.;1.000;0.65;1.95
24.12.12;18:06;Bern - Bahnhof;34530;6569;VALFLORA VOLLR. UHT 2.5DL;1.000;0.00;1.60
24.12.12;18:06;Bern - Bahnhof;34530;6569;BO KORNKNACKERBROT   310G;1.000;0.00;2.90
24.12.12;18:06;Bern - Bahnhof;34530;6569;ZITRONEN           ST S.;2.000;0.00;1.30
24.12.12;18:06;Bern - Bahnhof;34530;6569;BOU  LANDBROT     400G;1.000;0.00;2.60
24.12.12;18:06;Bern - Bahnhof;34530;6569;TS ADR M-DRINK PAST 1L;1.000;0.00;1.40
24.12.12;18:06;Bern - Bahnhof;34530;6569;PASSIONSFRUCHT    LOSE;0.159;0.00;2.70
24.12.12;18:06;Bern - Bahnhof;34530;6569;VALFLORA SAUER-HR 180ML;2.000;0.00;2.40
22.12.12;16:22;Bern - Marktgasse;34710;2672;NIVEA DEO SENSITIVE PURE;1.000;0.00;4.75
22.12.12;16:22;Bern - Marktgasse;34710;2672;NIVEA CREMEDUSCHE PEARL&B;1.000;0.00;3.35
22.12.12;16:22;Bern - Marktgasse;34710;2672;NIVEA CREMEDUSCHE CASHMER;1.000;0.00;3.35
22.12.12;16:22;Bern - Marktgasse;34710;2672;NIVEA CREMEDUSCHE FREE TI;1.000;0.00;3.35
22.12.12;16:36;Bern - Marktgasse;36710;8998;Xqisit FlipCover black fo;1.000;0.00;39.90
